film,datetime,sample,unique_id,characters,plot,setting,themes,overall
indiana-jones-and-the-temple-of-doom,20240627-232027,11,nbc3K7bS,78,0,80,0,39.5
indiana-jones-and-the-temple-of-doom,20240627-233338,12,Qi0UT3IT,85,0,82,0,41.75
indiana-jones-and-the-temple-of-doom,20240627-234702,13,YpsSwpwk,89,80,70,45,71.0
indiana-jones-and-the-temple-of-doom,20240628-000006,14,927fkj7I,88,84,70,50,73.0
indiana-jones-and-the-temple-of-doom,20240628-001326,15,SrkywZ5Z,85,0,75,68,57.0
indiana-jones-and-the-temple-of-doom,20240628-002630,16,bnCFYc7h,90,75,70,55,72.5
indiana-jones-and-the-temple-of-doom,20240628-003944,17,TWs3FzXi,88,78,76,68,77.5
indiana-jones-and-the-temple-of-doom,20240628-005245,18,CDKLaPy6,94,75,80,0,62.25
indiana-jones-and-the-temple-of-doom,20240628-010611,19,G0y9pI6R,88,82,80,45,73.75
indiana-jones-and-the-temple-of-doom,20240628-011943,20,GFNlYt44,87,80,68,55,72.5
la-la-land,20240627-210716,1,2E9czDqh,60,72,14,11,39.25
la-la-land,20240627-212028,2,tF0dhBJG,57,45,9,18,32.25
la-la-land,20240627-213403,3,GgB4Oaxj,72,42,9,25,37.0
la-la-land,20240627-214725,4,TUR2qyoF,53,50,22,25,37.5
la-la-land,20240627-220041,5,d5nPs9WL,70,62,16,25,43.25
la-la-land,20240627-221434,6,3NvzXcGG,60,0,17,30,26.75
la-la-land,20240627-222753,7,eymFrkXl,60,60,20,25,41.25
la-la-land,20240627-224114,8,9tjzkoEt,56,63,15,15,37.25
la-la-land,20240627-225438,9,pMgXy8Oj,57,60,22,11,37.5
la-la-land,20240627-230824,10,EBK09820,63,65,15,10,38.25
la-la-land,20240627-232141,11,pnYzW0lz,56,65,15,25,40.25
la-la-land,20240627-233453,12,BCRvLm2q,53,0,20,25,24.5
la-la-land,20240627-234824,13,bKQI0g04,66,45,16,11,34.5
la-la-land,20240628-000130,14,oDkjQ3Wb,60,42,16,23,35.25
la-la-land,20240628-001442,15,ZyqVMcU6,66,45,15,23,37.25
la-la-land,20240628-002748,16,UOAdw9e4,60,62,16,11,37.25
la-la-land,20240628-004101,17,Fc9BpNeZ,54,62,22,10,37.0
la-la-land,20240628-005409,18,3va7pByj,62,60,22,25,42.25
la-la-land,20240628-010738,19,5ZTPQjv8,64,0,24,30,29.5
la-la-land,20240628-012107,20,wzfcThFT,55,57,10,18,35.0
lara-croft-tomb-raider,20240627-210834,1,hBH2UuAP,75,80,50,0,51.25
lara-croft-tomb-raider,20240627-212143,2,WgVRT2U9,85,80,44,57,66.5
lara-croft-tomb-raider,20240627-213520,3,mjrZzPWN,77,80,60,50,66.75
lara-croft-tomb-raider,20240627-214844,4,MJ0Hejd2,88,82,56,75,75.25
lara-croft-tomb-raider,20240627-220203,5,x358EEc5,82,79,60,0,55.25
lara-croft-tomb-raider,20240627-221552,6,bB0d2mF4,74,72,44,65,63.75
lara-croft-tomb-raider,20240627-222912,7,wKINlGRX,77,80,54,65,69.0
lara-croft-tomb-raider,20240627-224236,8,QxOqZun3,80,86,60,48,68.5
lara-croft-tomb-raider,20240627-225557,9,VpT1amr7,72,83,55,65,68.75
lara-croft-tomb-raider,20240627-230943,10,c4igXo82,85,80,30,65,65.0
lara-croft-tomb-raider,20240627-232300,11,QNMeFvQK,80,80,56,0,54.0
lara-croft-tomb-raider,20240627-233612,12,jBNpysyC,75,80,48,40,60.75
lara-croft-tomb-raider,20240627-234945,13,6E9wcNLG,76,74,40,45,58.75
lara-croft-tomb-raider,20240628-000248,14,8s34gkbS,78,85,40,25,57.0
lara-croft-tomb-raider,20240628-001557,15,mrfYFrYa,94,80,44,68,71.5
lara-croft-tomb-raider,20240628-002907,16,gbGHBskn,80,85,40,48,63.25
lara-croft-tomb-raider,20240628-004218,17,QAxJCJMk,75,79,50,70,68.5
lara-croft-tomb-raider,20240628-005526,18,uegJAFCy,78,84,40,25,56.75
lara-croft-tomb-raider,20240628-010852,19,hG5wijFd,63,84,44,48,59.75
lara-croft-tomb-raider,20240628-012225,20,Meg0cntU,78,0,50,25,38.25
national-treasure,20240627-210953,1,BU1q6crq,88,82,16,68,63.5
national-treasure,20240627-212301,2,dK2gobWU,88,78,36,65,66.75
national-treasure,20240627-213639,3,CmJcY40t,88,80,45,65,69.5
national-treasure,20240627-215004,4,G8DtBvOb,85,82,40,68,68.75
national-treasure,20240627-220321,5,vcfR2OfC,66,82,30,48,56.5
national-treasure,20240627-221711,6,GzN70gzY,75,80,22,65,60.5
national-treasure,20240627-223034,7,psMk6p29,89,83,22,0,48.5
national-treasure,20240627-224359,8,bMpyuyxR,83,75,40,65,65.75
national-treasure,20240627-225711,9,BAaI8RkC,75,73,21,68,59.25
national-treasure,20240627-231102,10,xoYd5U3Q,77,82,22,68,62.25
national-treasure,20240627-232420,11,84sYxtvp,70,75,21,68,58.5
national-treasure,20240627-233731,12,kTDtOCfR,83,78,40,45,61.5
national-treasure,20240627-235105,13,w4LUfgKR,89,80,25,0,48.5
national-treasure,20240628-000404,14,1TGayEdN,77,81,27,75,65.0
national-treasure,20240628-001714,15,0CPMyTU9,82,78,30,0,47.5
national-treasure,20240628-003019,16,fVhVR8N3,80,73,30,45,57.0
national-treasure,20240628-004332,17,HST2u65c,77,70,44,68,64.75
national-treasure,20240628-005646,18,Ar8PM9T7,82,86,36,68,68.0
national-treasure,20240628-011011,19,6xp9bCab,83,80,42,45,62.5
national-treasure,20240628-012343,20,lyhlstMZ,88,66,30,68,63.0
office-space,20240627-211109,1,B2wBsQCO,50,45,22,23,35.0
office-space,20240627-212426,2,fVuzbykM,63,42,24,27,39.0
office-space,20240627-213759,3,wU89o2sZ,60,45,15,12,33.0
office-space,20240627-215122,4,HNpdRPAw,62,75,11,11,39.75
office-space,20240627-220443,5,Eqv31gJ5,60,63,28,25,44.0
office-space,20240627-221828,6,KCXIuXTi,60,47,28,40,43.75
office-space,20240627-223150,7,6HKB4vgY,50,63,15,8,34.0
office-space,20240627-224517,8,pbmwi2df,48,64,16,10,34.5
office-space,20240627-225830,9,rrS09YCm,53,46,20,10,32.25
office-space,20240627-231226,10,rBQMpjYX,60,63,16,40,44.75
office-space,20240627-232540,11,89NffaN8,55,60,20,40,43.75
office-space,20240627-233853,12,VXtTY8Bk,63,0,15,0,19.5
office-space,20240627-235221,13,RZFXLrXD,60,0,28,13,25.25
office-space,20240628-000524,14,DLqyB2eP,50,0,16,40,26.5
office-space,20240628-001830,15,Q2UhaWlX,62,0,16,0,19.5
office-space,20240628-003135,16,DOzpv6QF,63,60,11,11,36.25
office-space,20240628-004452,17,R4PXZi3Z,50,60,26,11,36.75
office-space,20240628-005810,18,VCsdX0Zw,70,45,28,11,38.5
office-space,20240628-011131,19,qzRZV46V,78,48,16,11,38.25
office-space,20240628-012458,20,aQNS5u0J,60,60,28,8,39.0
the-mummy,20240627-211230,1,P4EPa2fO,85,68,74,50,69.25
the-mummy,20240627-212546,2,MQy8IaDN,86,0,76,25,46.75
the-mummy,20240627-213918,3,X7IoaAOH,85,80,74,40,69.75
the-mummy,20240627-215240,4,qGw1W7HC,86,83,74,65,77.0
the-mummy,20240627-220618,5,ibQzWvWT,85,83,80,40,72.0
the-mummy,20240627-221947,6,iCOeTE8J,82,78,74,0,58.5
the-mummy,20240627-223308,7,Q7XK1vlL,60,67,80,50,64.25
the-mummy,20240627-224632,8,7uQNtY1Y,85,73,74,0,58.0
the-mummy,20240627-225950,9,woEVSI85,77,79,74,38,67.0
the-mummy,20240627-231346,10,NE6RCrvu,82,78,80,45,71.25
the-mummy,20240627-232702,11,GfZrkwZU,80,78,75,0,58.25
the-mummy,20240627-234009,12,VSbzirB6,82,80,64,57,70.75
the-mummy,20240627-235338,13,dPqaKWxA,77,70,76,45,67.0
the-mummy,20240628-000643,14,n0ykpCtF,85,68,74,70,74.25
the-mummy,20240628-001945,15,IbR7CN2i,75,80,74,0,57.25
the-mummy,20240628-003249,16,4eMR8Cqb,83,80,72,60,73.75
the-mummy,20240628-004609,17,YmZ6vjfN,78,80,74,0,58.0
the-mummy,20240628-005923,18,Uv2scboX,70,70,74,0,53.5
the-mummy,20240628-011249,19,TYVMfXFB,80,78,70,48,69.0
the-mummy,20240628-012615,20,hTRfziM3,85,77,76,55,73.25
titanic,20240627-211346,1,3Hp35vvt,63,70,38,40,52.75
titanic,20240627-212701,2,pAkja4p6,67,62,48,25,50.5
titanic,20240627-214039,3,VqwNBSJF,63,68,56,23,52.5
titanic,20240627-215358,4,piwbyLLJ,66,68,56,40,57.5
titanic,20240627-220738,5,HF9HfBMJ,66,62,48,16,48.0
titanic,20240627-222106,6,pnEe5Asv,63,70,56,45,58.5
titanic,20240627-223427,7,TPpx8P4a,65,0,56,40,40.25
titanic,20240627-224750,8,8Mbd4TCj,65,70,46,30,52.75
titanic,20240627-230121,9,6o2JST2p,72,80,58,11,55.25
titanic,20240627-231501,10,mHAmiHEU,60,0,50,25,33.75
titanic,20240627-232820,11,39o3yU6G,50,72,46,11,44.75
titanic,20240627-234129,12,7zFi9u6O,66,0,60,40,41.5
titanic,20240627-235457,13,8DhpJ9ZE,70,70,56,22,54.5
titanic,20240628-000801,14,U70z6Ctq,65,64,58,38,56.25
titanic,20240628-002107,15,RYorsnzF,66,68,56,40,57.5
titanic,20240628-003412,16,BJN3OE2f,65,68,38,23,48.5
titanic,20240628-004725,17,V5vqPHk7,66,68,60,30,56.0
titanic,20240628-010039,18,dsDByjgv,63,60,40,25,47.0
titanic,20240628-011403,19,8lBJjvjp,73,60,40,45,54.5
titanic,20240628-012734,20,hxddoVYX,72,80,54,42,62.0
