reference_film,test_film,test_year,version_number,characters_similarity_overall,characters_role,characters_backstory,characters_strengths,characters_weakness,characters_psychology,characters_beliefs,characters_motivations,characters_social_dynamics,characters_arc,plot_similarity_overall,plot_protagonist_intro,plot_inciting_incident,plot_rising_action,plot_climax,plot_resolution,plot_consequences,plot_final_outcome,plot_loose_ends,plot_subplots,setting_similarity_overall,setting_time_period,setting_geographical_location,setting_cultural_context,setting_social_class,setting_ideology_and_beliefs,setting_economic_and_political_context,themes_similarity_overall,themes_main_theme,themes_secondary_themes,themes_tertiary_themes,themes_resolution_main_them,themes_resolution_secondary_themes,themes_resolution_tertiary_themes
raiders-of-the-lost-ark,office-space,1999,10,87.0,100.0,80.0,90.0,70.0,95.0,90.0,85.0,85.0,90.0,80.0,80.0,70.0,75.0,85.0,90.0,85.0,90.0,80.0,0.0,72.0,80.0,70.0,60.0,75.0,70.0,85.0,57.0,50.0,60.0,40.0,70.0,65.0,55.0
raiders-of-the-lost-ark,office-space,1999,11,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.0,90.0,85.0,80.0,85.0,90.0,85.0,90.0,85.0,90.0,84.0,90.0,70.0,80.0,85.0,90.0,85.0,30.0,40.0,20.0,10.0,60.0,30.0,20.0
raiders-of-the-lost-ark,office-space,1999,12,90.0,100.0,90.0,100.0,70.0,100.0,100.0,100.0,80.0,90.0,83.0,80.0,90.0,85.0,75.0,85.0,80.0,90.0,70.0,85.0,84.0,90.0,80.0,85.0,75.0,90.0,90.0,60.0,50.0,60.0,40.0,70.0,80.0,60.0
raiders-of-the-lost-ark,office-space,1999,13,83.0,100.0,80.0,100.0,60.0,100.0,80.0,80.0,80.0,80.0,86.0,80.0,90.0,85.0,85.0,90.0,85.0,90.0,80.0,90.0,80.0,90.0,70.0,80.0,75.0,85.0,90.0,68.0,60.0,70.0,50.0,80.0,75.0,65.0
raiders-of-the-lost-ark,office-space,1999,14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,80.0,90.0,100.0,90.0,100.0,70.0,90.0,82.0,80.0,90.0,70.0,80.0,90.0,80.0,68.0,60.0,70.0,50.0,80.0,75.0,65.0
raiders-of-the-lost-ark,office-space,1999,15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.0,80.0,90.0,85.0,75.0,85.0,85.0,90.0,80.0,90.0,76.0,80.0,60.0,70.0,75.0,85.0,90.0,57.0,50.0,60.0,40.0,70.0,65.0,55.0
raiders-of-the-lost-ark,office-space,1999,16,70.0,100.0,50.0,75.0,50.0,50.0,75.0,75.0,75.0,75.0,85.0,100.0,100.0,80.0,70.0,90.0,90.0,80.0,70.0,90.0,84.0,90.0,80.0,70.0,90.0,80.0,90.0,40.0,40.0,60.0,30.0,20.0,50.0,40.0
raiders-of-the-lost-ark,office-space,1999,17,93.0,100.0,80.0,100.0,80.0,100.0,100.0,100.0,90.0,100.0,83.0,80.0,90.0,85.0,75.0,85.0,80.0,90.0,70.0,85.0,76.0,90.0,70.0,80.0,60.0,70.0,90.0,60.0,50.0,60.0,40.0,70.0,80.0,60.0
raiders-of-the-lost-ark,office-space,1999,18,94.0,100.0,80.0,100.0,90.0,100.0,100.0,100.0,90.0,100.0,87.0,90.0,85.0,80.0,85.0,90.0,85.0,90.0,85.0,90.0,75.0,90.0,70.0,80.0,60.0,70.0,80.0,40.0,30.0,40.0,20.0,50.0,60.0,40.0
raiders-of-the-lost-ark,office-space,1999,19,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,70.0,80.0,75.0,85.0,70.0,80.0,75.0,60.0,85.0,80.0,90.0,70.0,80.0,85.0,75.0,85.0,68.0,60.0,70.0,50.0,80.0,75.0,65.0
raiders-of-the-lost-ark,office-space,1999,20,86.0,100.0,80.0,100.0,60.0,100.0,80.0,100.0,80.0,100.0,80.0,90.0,80.0,75.0,70.0,85.0,80.0,90.0,70.0,85.0,80.0,90.0,70.0,80.0,75.0,85.0,90.0,68.0,60.0,70.0,50.0,80.0,75.0,65.0
raiders-of-the-lost-ark,office-space,1999,21,88.0,100.0,80.0,100.0,80.0,100.0,60.0,100.0,80.0,100.0,85.0,80.0,90.0,85.0,75.0,90.0,85.0,90.0,85.0,90.0,82.0,90.0,70.0,80.0,100.0,70.0,90.0,70.0,50.0,70.0,60.0,80.0,90.0,70.0
raiders-of-the-lost-ark,office-space,1999,22,96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,95.0,100.0,100.0,90.0,80.0,100.0,90.0,100.0,100.0,100.0,80.0,90.0,80.0,70.0,75.0,85.0,90.0,40.0,30.0,40.0,20.0,50.0,60.0,40.0
raiders-of-the-lost-ark,office-space,1999,23,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.0,90.0,85.0,80.0,95.0,90.0,85.0,95.0,90.0,85.0,73.0,80.0,60.0,70.0,75.0,65.0,85.0,55.0,40.0,60.0,30.0,70.0,80.0,50.0
raiders-of-the-lost-ark,office-space,1999,24,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.0,80.0,70.0,75.0,85.0,90.0,85.0,90.0,80.0,85.0,94.0,100.0,80.0,90.0,100.0,100.0,100.0,70.0,60.0,70.0,50.0,80.0,75.0,70.0
raiders-of-the-lost-ark,office-space,1999,25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.0,90.0,85.0,80.0,95.0,90.0,85.0,90.0,85.0,90.0,74.0,80.0,70.0,60.0,75.0,85.0,70.0,55.0,40.0,60.0,30.0,70.0,80.0,50.0
raiders-of-the-lost-ark,office-space,1999,26,82.0,100.0,50.0,100.0,50.0,75.0,100.0,100.0,75.0,100.0,82.0,80.0,90.0,85.0,75.0,80.0,85.0,90.0,70.0,85.0,80.0,90.0,70.0,80.0,75.0,85.0,85.0,68.0,60.0,70.0,50.0,80.0,75.0,65.0
raiders-of-the-lost-ark,office-space,1999,27,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.0,70.0,80.0,75.0,85.0,90.0,85.0,85.0,80.0,90.0,80.0,90.0,70.0,80.0,75.0,85.0,90.0,50.0,40.0,60.0,30.0,70.0,50.0,60.0
raiders-of-the-lost-ark,office-space,1999,28,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.0,90.0,85.0,80.0,75.0,85.0,90.0,85.0,80.0,90.0,80.0,90.0,70.0,80.0,75.0,85.0,85.0,57.0,50.0,60.0,40.0,70.0,65.0,55.0
raiders-of-the-lost-ark,office-space,1999,29,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.0,85.0,90.0,80.0,85.0,85.0,90.0,85.0,75.0,80.0,75.0,90.0,70.0,80.0,60.0,70.0,80.0,50.0,40.0,60.0,30.0,50.0,70.0,60.0
raiders-of-the-lost-ark,office-space,1999,30,72.0,100.0,100.0,75.0,50.0,75.0,50.0,75.0,50.0,75.0,87.0,90.0,85.0,80.0,85.0,90.0,85.0,90.0,85.0,90.0,80.0,90.0,70.0,80.0,75.0,85.0,85.0,30.0,30.0,20.0,10.0,40.0,50.0,30.0
raiders-of-the-lost-ark,office-space,1999,31,82.0,100.0,80.0,90.0,70.0,60.0,90.0,80.0,70.0,90.0,82.0,80.0,90.0,85.0,75.0,85.0,80.0,90.0,70.0,85.0,75.0,90.0,70.0,80.0,60.0,70.0,85.0,25.0,30.0,20.0,15.0,40.0,25.0,20.0
raiders-of-the-lost-ark,office-space,1999,32,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.0,90.0,80.0,85.0,95.0,90.0,85.0,90.0,85.0,90.0,96.0,100.0,80.0,100.0,100.0,100.0,100.0,68.0,60.0,70.0,50.0,80.0,75.0,65.0
raiders-of-the-lost-ark,office-space,1999,average,90.78787878787878,100.0,86.96969696969697,95.45454545454545,81.51515151515152,91.21212121212122,91.81818181818181,93.78787878787878,86.66666666666667,94.24242424242425,84.81818181818181,85.3030303030303,85.60606060606061,81.36363636363636,82.72727272727273,87.42424242424242,85.0,89.6969696969697,78.63636363636364,85.0,79.6969696969697,88.48484848484848,72.12121212121212,77.27272727272727,76.36363636363636,81.06060606060606,86.51515151515152,54.54545454545455,46.36363636363637,54.84848484848485,37.121212121212125,66.66666666666667,66.51515151515152,54.84848484848485
