reference_film,test_film,version_number,characters_role,characters_backstory,characters_strengths,characters_weakness,characters_psychology,characters_beliefs,characters_motivations,characters_arc,characters_similarity_overall,plot_protagonist_intro,plot_inciting_incident,plot_rising_action,plot_climax,plot_resolution,plot_consequences,plot_final_outcome,plot_loose_ends,plot_subplots,plot_similarity_overall,setting_time_period,setting_geographical_location,setting_cultural_context,setting_social_class,setting_ideology_and_beliefs,setting_economic_and_political_context,setting_similarity_overall,themes_main_theme,themes_secondary_themes,themes_tertiary_themes,themes_resolution_main_them,themes_resolution_secondary_themes,themes_resolution_tertiary_themes,themes_similarity_overall,characters_social_dynamics,filename
raiders-of-the-lost-ark,script_national-treasure,23,100,100,100,100,100,100,100,100,100,90,85,80,95,90,85,95,90,85,88,80,60,70,75,65,85,73,40,60,30,70,80,50,55,100,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver23.pkl
raiders-of-the-lost-ark,script_national-treasure,24,100,100,100,100,100,100,100,100,100,80,70,75,85,90,85,90,80,85,83,100,80,90,100,100,100,94,60,70,50,80,75,70,70,100,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver24.pkl
raiders-of-the-lost-ark,script_national-treasure,25,100,100,100,100,100,100,100,100,100,90,85,80,95,90,85,90,85,90,88,80,70,60,75,85,70,74,40,60,30,70,80,50,55,100,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver25.pkl
raiders-of-the-lost-ark,script_national-treasure,26,100,50,100,50,75,100,100,100,82,80,90,85,75,80,85,90,70,85,82,90,70,80,75,85,85,80,60,70,50,80,75,65,68,75,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver26.pkl
raiders-of-the-lost-ark,script_national-treasure,27,100,100,100,100,100,100,100,100,100,70,80,75,85,90,85,85,80,90,83,90,70,80,75,85,90,80,40,60,30,70,50,60,50,100,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver27.pkl
raiders-of-the-lost-ark,script_national-treasure,28,100,100,100,100,100,100,100,100,100,90,85,80,75,85,90,85,80,90,85,90,70,80,75,85,85,80,50,60,40,70,65,55,57,100,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver28.pkl
raiders-of-the-lost-ark,script_national-treasure,29,100,100,100,100,100,100,100,100,100,85,90,80,85,85,90,85,75,80,83,90,70,80,60,70,80,75,40,60,30,50,70,60,50,100,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver29.pkl
raiders-of-the-lost-ark,script_national-treasure,3,100,100,100,100,100,100,100,100,100,85,75,80,90,85,80,85,70,75,80,90,70,80,60,70,80,75,40,60,50,70,80,60,60,100,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver3.pkl
raiders-of-the-lost-ark,script_national-treasure,30,100,100,75,50,75,50,75,75,72,90,85,80,85,90,85,90,85,90,87,90,70,80,75,85,85,80,30,20,10,40,50,30,30,50,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver30.pkl
raiders-of-the-lost-ark,script_national-treasure,31,100,80,90,70,60,90,80,90,82,80,90,85,75,85,80,90,70,85,82,90,70,80,60,70,85,75,30,20,15,40,25,20,25,70,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver31.pkl
raiders-of-the-lost-ark,script_national-treasure,32,100,100,100,100,100,100,100,100,100,90,80,85,95,90,85,90,85,90,88,100,80,100,100,100,100,96,60,70,50,80,75,65,68,100,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver32.pkl
raiders-of-the-lost-ark,script_national-treasure,4,100,80,90,70,100,100,90,90,88,85,90,80,85,90,85,90,80,85,86,90,80,70,60,80,90,78,40,60,50,70,80,75,60,80,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver4.pkl
raiders-of-the-lost-ark,script_national-treasure,5,100,80,90,60,70,90,80,90,80,90,80,85,95,90,90,95,85,90,89,80,60,70,75,85,90,76,50,30,20,70,40,60,45,70,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver5.pkl
raiders-of-the-lost-ark,script_national-treasure,6,100,100,100,100,100,100,100,100,100,80,90,85,75,70,85,90,80,85,82,90,70,80,75,85,90,80,40,30,20,60,50,40,40,100,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver6.pkl
raiders-of-the-lost-ark,script_national-treasure,7,100,80,90,70,70,90,80,90,80,90,85,80,75,85,85,90,80,90,85,90,80,85,75,90,85,85,50,70,60,80,75,70,68,60,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver7.pkl
raiders-of-the-lost-ark,script_national-treasure,8,100,80,100,60,90,100,100,90,88,90,85,80,95,90,85,90,85,90,88,90,80,85,90,80,85,85,50,70,60,80,75,70,68,90,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver8.pkl
raiders-of-the-lost-ark,script_national-treasure,9,100,50,75,50,50,75,75,75,66,80,90,85,95,90,85,95,80,90,88,90,70,80,85,75,90,80,60,40,30,70,50,60,50,50,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver9.pkl
